"Host","Status","Detail","User","PSComputerName","RunspaceId","PSShowComputerName"
"192.168.0.111","NO_5985","Puerto 5985 cerrado","","localhost","3f265048-bf67-44bd-b1de-9e6528945818","False"
"192.168.0.112","FAIL","Error de conexión al servidor remoto 192.168.0.112. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","e4e96abd-5499-421e-8de3-d6a547256b3a","False"
"192.168.0.113","OK","Popup enviado","Usuario","localhost","dc275102-9d33-4967-aacb-f5964c65f73d","False"
"192.168.0.114","OK","Popup enviado","Admin","localhost","c904baeb-7fdd-473a-a824-2579928cad5b","False"
"192.168.0.115","OK","Popup enviado","Admin","localhost","157e3d02-6569-49b1-b989-3de7e340ce64","False"
"192.168.0.116","OK","Popup enviado","Admin","localhost","103ba5f2-4357-4e7a-9a41-74041202a781","False"
"192.168.0.117","NO_5985","Puerto 5985 cerrado","","localhost","a0a79fbd-9117-4227-a4e5-139c93845108","False"
"192.168.0.118","OK","Popup enviado","Admin","localhost","3e9aed7f-b06c-405f-8564-4c71aebaf11f","False"
"192.168.0.119","NO_5985","Puerto 5985 cerrado","","localhost","d8620509-9de1-49ff-bb4b-0f11e7d6d039","False"
"192.168.0.120","OK","Popup enviado","Admin","localhost","6cf46d5b-6c0a-417e-af61-57c6a41b9fce","False"
"192.168.0.121","OK","Popup enviado","Admin","localhost","481ec2c2-5f5e-4ede-891a-1b2242bc6768","False"
"192.168.0.122","OK","Popup enviado","Usuario","localhost","28402a19-c574-400f-88c1-f9adb249cf44","False"
"192.168.0.123","OK","Popup enviado","Profesor","localhost","732103ca-e6e6-479a-94c2-4639ccb04172","False"
"192.168.0.124","OK","Popup enviado","Admin","localhost","98c78dbd-df87-4269-b935-7b19c90ca3df","False"
"192.168.0.125","OK","Popup enviado","Admin","localhost","1d14a783-6657-4bb4-a5c3-35b2f57401fa","False"
"192.168.0.126","FAIL","Error de conexión al servidor remoto 192.168.0.126. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","ba49e11f-73c9-4f21-8666-453e50245873","False"
"192.168.0.127","FAIL","Error de conexión al servidor remoto 192.168.0.127. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","d88e4375-0d64-4c5c-bbc5-9319554c7ed6","False"
"192.168.0.128","NO_5985","Puerto 5985 cerrado","","localhost","c794d4a5-c429-4fee-883f-ec5fac32a765","False"
"192.168.0.129","OK","Popup enviado","Admin","localhost","1d6e840e-6c76-4f0c-ac90-5894b20a9d3f","False"
"192.168.0.130","OK","Popup enviado","Admin","localhost","b4a2a7b1-7f53-4100-879d-59a326b3826d","False"
"192.168.0.131","FAIL","Error de conexión al servidor remoto 192.168.0.131. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","67a005d4-8b2a-45c9-952e-31b7caf26fe4","False"
"192.168.0.132","FAIL","Error de conexión al servidor remoto 192.168.0.132. Mensaje de error: Acceso denegado. Para obtener más información, consulte el tema de la Ayuda about_Remote_Troubleshooting.","","localhost","cfd74608-04fc-4ab8-a756-8184f4f81f91","False"
"192.168.0.133","NO_5985","Puerto 5985 cerrado","","localhost","6be3a798-8f2a-4d88-9486-84446516e159","False"
"192.168.0.134","OK","Popup enviado","Admin","localhost","879fb366-a702-42e5-8ec6-7371989277cd","False"
"192.168.0.135","OK","Popup enviado","Admin","localhost","50fa3167-f389-45a1-9b8a-b329a2cccdaf","False"
"192.168.0.136","OK","Popup enviado","Admin","localhost","89f999f9-9cfd-4786-ac24-047695f96f49","False"
"192.168.0.137","OK","Popup enviado","Admin","localhost","3cbb4763-855e-465c-8e29-a2d5b3bd318e","False"
"192.168.0.138","NO_5985","Puerto 5985 cerrado","","localhost","22e9406b-fa26-4093-bed9-b3adadcf2852","False"
"192.168.0.139","OK","Popup enviado","Admin","localhost","9a46d45b-dc9f-46ce-9a8c-d952c8c61e7c","False"
